"registrationid","buildingid","boroid","boro","housenumber","lowhousenumber","highhousenumber","streetname","streetcode","zip","block","lot","bin","communityboard","lastregistrationdate","registrationenddate"
"425483","525860","4","QUEENS","75-74","75-74","75-74","113 STREET","20640","11375","2264","132","4052754","6","2025-09-16T00:00:00.000","2026-09-01T00:00:00.000"
"927303","531738","4","QUEENS","196-15","196-15","196-15","118 AVENUE","21070","11412","12617","23","4271734","12","2024-04-04T00:00:00.000","2024-09-30T00:00:00.000"
"421706","533330","4","QUEENS","18-37","18-37","18-37","119 STREET","21240","11356","4081","5","4098235","7","2025-08-07T00:00:00.000","2026-09-01T00:00:00.000"
"421550","534125","4","QUEENS","109-38","109-38","109-38","120 STREET","21340","11420","11600","20","4249479","10","2025-06-18T00:00:00.000","2026-09-01T00:00:00.000"
"928798","543627","4","QUEENS","160-14","160-14","160-14","131 AVENUE","21900","11434","12286","12","4266366","12","2025-05-28T00:00:00.000","2026-09-01T00:00:00.000"
"923703","545217","4","QUEENS","128-19","128-19","128-19","133 AVENUE","22090","11420","11766","1","4255389","10","2025-08-24T00:00:00.000","2026-09-01T00:00:00.000"
"424007","547655","4","QUEENS","86-12","86-12","86-12","DUMONT AVENUE","22190","11417","11396","7501","4449074","10","2025-10-07T00:00:00.000","2026-09-01T00:00:00.000"
"929024","552518","4","QUEENS","240-15","240-15","240-15","143 AVENUE","22820","11422","13556","15","4288158","13","2025-08-07T00:00:00.000","2026-09-01T00:00:00.000"
"429277","553347","4","QUEENS","179-46","179-46","179-46","144 AVENUE","22870","11434","13089","41","4281232","12","2025-09-10T00:00:00.000","2026-09-01T00:00:00.000"
"409372","558911","4","QUEENS","29-17","29-17","29-23","148 STREET","23140","11354","4807","41","4108742","7","2025-07-14T00:00:00.000","2026-09-01T00:00:00.000"
"926794","561148","4","QUEENS","34-04","34-04","34-04","150 STREET","23290","11354","4999","23","4113138","7","2023-11-16T00:00:00.000","2024-09-30T00:00:00.000"
"416861","562657","4","QUEENS","88-30","88-30","88-32","155 AVENUE","23590","11414","11466","25","4435022","10","2025-08-31T00:00:00.000","2026-09-01T00:00:00.000"
"423841","563583","4","QUEENS","42-01","42-01","42-01","156 STREET","23740","11355","5387","137","4311347","7","2021-07-21T00:00:00.000","2022-09-01T00:00:00.000"
"925852","564899","4","QUEENS","132-04","132-04","132-04","158 STREET","23840","11434","12282","6","4266285","12","2023-01-30T00:00:00.000","2023-09-01T00:00:00.000"
"421338","568822","4","QUEENS","42-15","42-15","42-15","163 STREET","24190","11358","5394","12","4121775","7","2015-07-27T00:00:00.000","2016-09-01T00:00:00.000"
"18287","728903","5","STATEN ISLAND","64","64","64","DECKER AVENUE","25650","10302","1044","103","5113211","1","2025-12-19T00:00:00.000","2026-09-01T00:00:00.000"
"911709","915604","4","QUEENS","69-44","69-44","69-44","213 STREET","26490","11364","7633","1","4451154","11","2025-12-08T00:00:00.000","2026-09-01T00:00:00.000"
"211473","62829","2","BRONX","536","536","536","EAST 138 STREET","25800","10454","2265","39","2000042","1","2025-12-03T00:00:00.000","2026-09-01T00:00:00.000"
"430787","948451","4","QUEENS","92-28","92-28","92-28","195 PLACE","25640","11423","10823","46","4534102","12","2025-12-09T00:00:00.000","2026-09-01T00:00:00.000"
"402771","549022","4","QUEENS","47-12","47-12","47-12","48 STREET","10640","11377","2285","33","4052910","2","2024-11-26T00:00:00.000","2025-09-01T00:00:00.000"
"913946","571959","4","QUEENS","114-26","114-26","114-26","167 STREET","24390","11434","12330","45","4267074","12","2019-08-13T00:00:00.000","2020-11-01T00:00:00.000"
"917439","577225","4","QUEENS","134-40","134-40","134-40","173 STREET","24790","11434","12495","162","4270054","12","2016-08-16T00:00:00.000","2017-09-01T00:00:00.000"
"914366","582413","4","QUEENS","102-21","102-21","102-21","184 STREET","25150","11423","10362","22","4220683","12",,"2023-09-01T00:00:00.000"
"925081","623681","4","QUEENS","149-45","149-45","149-45","256 STREET","27268","11422","13677","23","4290736","13","2025-10-09T00:00:00.000","2026-09-01T00:00:00.000"
"922211","632439","4","QUEENS","515","515","515","BEACH 43 STREET","31190","11691","15962","88","4302173","14","2019-08-20T00:00:00.000","2020-11-01T00:00:00.000"
"416003","633421","4","QUEENS","434","434","434","BEACH 69 STREET","31990","11692","16042","16","4302866","14","2025-10-14T00:00:00.000","2026-09-01T00:00:00.000"
"405823","635326","4","QUEENS","176","176","176","BEACH 130 STREET","34690","11694","16239","86","4305261","14","2025-08-19T00:00:00.000","2026-09-01T00:00:00.000"
"404699","638553","4","QUEENS","1926","1926","1926","BLEECKER STREET","36190","11385","3390","28","4080864","5","2025-08-19T00:00:00.000","2026-09-01T00:00:00.000"
"204514","50304","2","BRONX","2185","2185","2185","BOLTON STREET","13420","10462","4317","40","2049375","11","2025-12-09T00:00:00.000","2026-09-01T00:00:00.000"
"403202","655465","4","QUEENS","63-10","63-10","63-10","FOREST AVENUE","45490","11385","3372","44","4080373","5","2025-09-10T00:00:00.000","2026-09-01T00:00:00.000"
"408059","656866","4","QUEENS","87-40","87-40","87-40","FRANCIS LEWIS BOULEVARD","45890","11427","10535","10","4434606","8","2025-08-28T00:00:00.000","2026-09-01T00:00:00.000"
"401349","657603","4","QUEENS","71-07","71-07","71-07","FRESH POND ROAD","46190","11385","3637","61","4088360","5","2025-08-23T00:00:00.000","2026-09-01T00:00:00.000"
"425219","660115","4","QUEENS","76-28","76-28","76-30","GRAND CENTRAL PARKWAY","47390","11375","2267","135","4444964","6","2025-06-30T00:00:00.000","2026-09-01T00:00:00.000"
"928735","577504","4","QUEENS","76-55","76-55","76-55","173 STREET","24790","11366","7010","50","4151908","8","2025-12-01T00:00:00.000","2026-09-01T00:00:00.000"
"312507","132852","3","BROOKLYN","402","402","402","6 STREET","5730","11215","994","38","3021667","6","2025-12-17T00:00:00.000","2026-09-01T00:00:00.000"
"404023","661277","4","QUEENS","1934","1934","1934","GROVE STREET","48290","11385","3392","38","4080942","5","2025-08-26T00:00:00.000","2026-09-01T00:00:00.000"
"413245","665466","4","QUEENS","153-01","153-01","153-05","HOR HARDING EXPRESSWAY SR NORTH","50290","11367","6441","44","4443867","7","2025-07-17T00:00:00.000","2026-09-01T00:00:00.000"
"919086","667481","4","QUEENS","119-19","119-19","119-19","JAMAICA AVENUE","51090","11418","9273","173","4193702","9","2025-07-15T00:00:00.000","2026-09-01T00:00:00.000"
"917980","668963","4","QUEENS","617","617","617","JARVIS AVENUE","51250","11691","15595","22","4298823","14","2017-10-24T00:00:00.000","2018-09-01T00:00:00.000"
"421343","670972","4","QUEENS","42-09","42-09","42-09","KETCHAM STREET","51990","11373","1507","36","4440722","4","2024-12-17T00:00:00.000","2025-09-01T00:00:00.000"
"926058","671115","4","QUEENS","178-08","178-08","178-08","KILDARE ROAD","52155","11432","7240","11","4155740","8","2024-09-28T00:00:00.000","2025-09-01T00:00:00.000"
"912143","680298","4","QUEENS","116-35","116-35","116-35","MEXICO STREET","55760","11412","10383","39","4457685","12","2019-08-08T00:00:00.000","2020-11-01T00:00:00.000"
"922953","680889","4","QUEENS","62-68","62-68","62-68","MT OLIVET CRESCENT","56230","11379","2773","80","4062143","5","2024-09-23T00:00:00.000","2025-09-01T00:00:00.000"
"919799","681921","4","QUEENS","60-40","60-40","60-40","MYRTLE AVENUE","56490","11385","3589","31","4086740","5","2018-03-09T00:00:00.000","2018-09-01T00:00:00.000"
"915865","683274","4","QUEENS","106-55","106-55","106-55","GUY R BREWER BOULEVARD","57190","11433","10161","44","4216299","12","2025-09-13T00:00:00.000","2026-09-01T00:00:00.000"
"402854","686052","4","QUEENS","480","480","480","ONDERDONK AVENUE","58190","11385","3431","33","4081915","5","2025-08-22T00:00:00.000","2026-09-01T00:00:00.000"
"918751","688242","4","QUEENS","83-04","83-04","83-04","PETTIT AVENUE","58990","11373","1506","37","4037211","4","2017-10-11T00:00:00.000","2018-09-01T00:00:00.000"
"431157","689079","4","QUEENS","88-29","88-29","88-29","PONTIAC STREET","59280","11427","7970","167","4167008","13","2025-05-19T00:00:00.000","2026-09-01T00:00:00.000"
"333633","146113","3","BROOKLYN","285","285","285","23 STREET","7480","11215","899","47","3017647","7","2025-12-22T00:00:00.000","2026-09-01T00:00:00.000"
"408134","689602","4","QUEENS","1827","1827","1827","PUTNAM AVENUE","59890","11385","3462","37","4082779","5","2025-10-01T00:00:00.000","2026-09-01T00:00:00.000"
"421757","690451","4","QUEENS","86-56","86-56","86-56","RANGE STREET","60060","11427","7951","60","4166479","13","2024-12-31T00:00:00.000","2025-09-01T00:00:00.000"
"420824","691523","4","QUEENS","8000","8000","8000","SHORE FRONT PARKWAY","60790","11693","16129","1","4457806","14","2025-09-24T00:00:00.000","2026-09-01T00:00:00.000"
"422845","696971","4","QUEENS","191-12","191-10","191-12","STATION ROAD","64190","11358","5356","24","4120831","11","2025-09-05T00:00:00.000","2026-09-01T00:00:00.000"
"924350","698197","4","QUEENS","108-18","108-18","108-18","SUTPHIN BOULEVARD","64790","11435","11946","94","4258239","12","2021-10-04T00:00:00.000","2022-09-01T00:00:00.000"
"913982","698476","4","QUEENS","95-04","95-04","95-04","SUTPHIN BOULEVARD","64790","11435","10026","7","4214487","12","2025-08-13T00:00:00.000","2026-09-01T00:00:00.000"
"927586","704375","4","QUEENS","146-04","146-04","146-04","WILLETS POINT BOULEVARD","67790","11357","4790","10","4108345","7",,"2025-09-01T00:00:00.000"
"913807","705502","4","QUEENS","65-41","65-41","65-41","WOODSIDE AVENUE","68290","11377","1298","86","4030243","2","2025-09-15T00:00:00.000","2026-09-01T00:00:00.000"
"417921","705650","4","QUEENS","179","179","179","WOODWARD AVENUE","68390","11385","3377","92","4080435","5","2025-06-12T00:00:00.000","2026-09-01T00:00:00.000"
"18001","706940","5","STATEN ISLAND","406","406","406","ADELAIDE AVENUE","13700","10306","4683","5","5063067","3","2024-11-22T00:00:00.000","2025-09-01T00:00:00.000"
"15203","710539","5","STATEN ISLAND","115","115","115","ARMSTRONG AVENUE","16700","10308","5312","66","5068423","3","2025-08-31T00:00:00.000","2026-09-01T00:00:00.000"
"387462","150817","3","BROOKLYN","728","728","728","44 STREET","8780","11220","741","17","3011361","7","2025-12-04T00:00:00.000","2026-09-01T00:00:00.000"
"17675","734128","5","STATEN ISLAND","110","108","110","ELM STREET","27440","10310","158","92","5004468","1","2025-08-28T00:00:00.000","2026-09-01T00:00:00.000"
"14413","738588","5","STATEN ISLAND","20A","20A","20A","FRANKLIN LANE","29341","10306","4447","70","5060673","3","2025-08-15T00:00:00.000","2026-09-01T00:00:00.000"
"17611","744660","5","STATEN ISLAND","705","705","705","HENDERSON AVENUE","32600","10310","173","40","5004824","1","2025-07-29T00:00:00.000","2026-09-01T00:00:00.000"
"15615","748992","5","STATEN ISLAND","68","68","68","JACQUES AVENUE","34400","10306","3637","84","5052616","2","2021-03-10T00:00:00.000","2021-09-01T00:00:00.000"
"17999","749597","5","STATEN ISLAND","483","483","483","JERSEY STREET","34700","10301","35","7","5000671","1","2025-07-24T00:00:00.000","2026-09-01T00:00:00.000"
"16198","755324","5","STATEN ISLAND","14","12","16","LINDEN AVENUE","36520","10303","1215","45","5027555","1","2025-08-27T00:00:00.000","2026-09-01T00:00:00.000"
"15386","758862","5","STATEN ISLAND","92","92","92","MAPLE AVENUE","38000","10302","1078","47","5025403","1","2018-09-26T00:00:00.000","2019-09-01T00:00:00.000"
"500785","760384","5","STATEN ISLAND","14","14","14","MC FARLAND AVENUE","38750","10305","3100","46","5045534","2","2023-09-19T00:00:00.000","2024-09-30T00:00:00.000"
"501106","765735","5","STATEN ISLAND","585","585","585","NORTH RAILROAD AVENUE","40600","10304","3318","61","5048905","2","2025-09-23T00:00:00.000","2026-09-01T00:00:00.000"
"12974","773666","5","STATEN ISLAND","105","105","105","RAVENHURST AVENUE","44650","10310","355","58","5108756","1","2025-09-09T00:00:00.000","2026-09-01T00:00:00.000"
"13345","791146","5","STATEN ISLAND","4058","4058","4058","VICTORY BOULEVARD","53000","10314","2629","15","5041717","2","2025-08-26T00:00:00.000","2026-09-01T00:00:00.000"
"500265","791203","5","STATEN ISLAND","45","45","47","VICTORY BOULEVARD","53000","10301","16","142","5000214","1","2025-09-04T00:00:00.000","2026-09-01T00:00:00.000"
"140745","804144","1","MANHATTAN","3007","3007","3007","BROADWAY","13610","10027","1989","1","1082351","9","2025-09-17T00:00:00.000","2026-09-01T00:00:00.000"
"120383","804593","1","MANHATTAN","438","438","438","EAST 89 STREET","18770","10128","1568","31","1078694","8","2025-07-18T00:00:00.000","2026-09-01T00:00:00.000"
"108488","804777","1","MANHATTAN","15","15","15","ESSEX STREET","20390","10002","297","22","1083702","3","2025-10-07T00:00:00.000","2026-09-01T00:00:00.000"
"127186","805553","1","MANHATTAN","264","264","264","WEST 21 STREET","34190","10011","770","75","1084987","4","2025-04-29T00:00:00.000","2025-09-01T00:00:00.000"
"114412","805671","1","MANHATTAN","439","439","439","WEST 51 STREET","34790","10019","1061","13","1082413","4","2025-07-10T00:00:00.000","2026-09-01T00:00:00.000"
"138962","805808","1","MANHATTAN","120","120","130","WEST 97 STREET","35710","10025","1851","8","1085591","7","2025-10-14T00:00:00.000","2026-09-01T00:00:00.000"
"139069","805983","1","MANHATTAN","200","200","200","WEST 147 STREET","36710","10039","2032","34","1084142","10","2025-06-16T00:00:00.000","2026-09-01T00:00:00.000"
"134789","805999","1","MANHATTAN","508","508","510","WEST 162 STREET","37010","10032","2120","28","1079859","12","2025-07-07T00:00:00.000","2026-09-01T00:00:00.000"
"207308","806600","2","BRONX","648","648","648","EAST 233 STREET","28620","10466","4835","59","2093686","12","2025-07-11T00:00:00.000","2026-09-01T00:00:00.000"
"375176","807524","3","BROOKLYN","328","328","328","101 STREET","11530","11209","6137","200","3337198","10","2025-09-09T00:00:00.000","2026-09-01T00:00:00.000"
"316501","808600","3","BROOKLYN","340","340","340","JEFFERSON AVENUE","53030","11216","1834","35","3338715","3","2022-11-01T00:00:00.000","2023-09-01T00:00:00.000"
"300546","808668","3","BROOKLYN","141","141","141","LAFAYETTE AVENUE","54130","11238","2102","62","3259386","2","2025-09-05T00:00:00.000","2026-09-01T00:00:00.000"
"376231","809329","3","BROOKLYN","145","143","145","SACKETT STREET","74630","11231","330","7504","3412807","6","2024-11-20T00:00:00.000","2025-09-01T00:00:00.000"
"389881","809553","3","BROOKLYN","725","725","725","STANLEY AVENUE","81050","11207","4355","1","3324294","5","2025-07-02T00:00:00.000","2026-09-01T00:00:00.000"
"424147","810835","4","QUEENS","85-27","85-27","85-27","124 STREET","21590","11415","9270","7501","4448330","9","2025-10-06T00:00:00.000","2026-09-01T00:00:00.000"
"420592","810853","4","QUEENS","172-20","172-20","172-24","133 AVENUE","22090","11434","12495","2","4436344","12","2025-08-26T00:00:00.000","2026-09-01T00:00:00.000"
"400485","811895","4","QUEENS","224-24","224-24","224-24","UNION TURNPIKE","65590","11364","7912","50","4453360","11","2025-08-28T00:00:00.000","2026-09-01T00:00:00.000"
"409606","812200","4","QUEENS","150-41","150-41","150-41","75 ROAD","15740","11367","6704","1","4448166","8","2025-10-08T00:00:00.000","2026-09-01T00:00:00.000"
"132276","23501","1","MANHATTAN","255","255","255","LENOX AVENUE","24690","10027","1907","34","1057733","10","2018-10-23T00:00:00.000","2019-09-01T00:00:00.000"
"141684","814333","1","MANHATTAN","560","560","560","MAIN STREET","25645","10044","1373","30","1084702","8","2025-07-03T00:00:00.000","2026-09-01T00:00:00.000"
"815894","814443","3","BROOKLYN","2660","2660","2660","WEST 33 STREET","91980","11224","6963","1","3421836","13","2025-08-19T00:00:00.000","2026-09-01T00:00:00.000"
"711920","814508","2","BRONX","413","413","413","EAST 137 STREET","25770","10454","2282","75","2091029","1","2025-07-07T00:00:00.000","2026-09-01T00:00:00.000"
"915411","814574","4","QUEENS","15-32","15-30","15-32","BELL BOULEVARD","35690","11360","5857","50","4442857","7","2025-08-26T00:00:00.000","2026-09-01T00:00:00.000"
"920863","820647","4","QUEENS","183-09","183-09","183-11","141 AVENUE","22700","11413","13041","41","4448535","12","2025-06-09T00:00:00.000","2026-09-01T00:00:00.000"
"378159","822522","3","BROOKLYN","1297","1297","1297","DECATUR STREET","32030","11207","3430","135","3388419","4","2025-09-08T00:00:00.000","2026-09-01T00:00:00.000"
"140229","22172","1","MANHATTAN","143","143","143","GREENE STREET","21730","10012","514","7504","1007993","2","2025-12-30T00:00:00.000","2026-09-01T00:00:00.000"
"200710","117094","2","BRONX","2453","2453","2453","VALENTINE AVENUE","70720","10458","3152","84","2092401","5","2025-12-16T00:00:00.000","2026-09-01T00:00:00.000"
"207588","102932","2","BRONX","3241","3241","3241","PERRY AVENUE","58020","10467","3343","81","2018169","7","2025-12-02T00:00:00.000","2026-09-01T00:00:00.000"
"218166","94102","2","BRONX","1130","1130","1130","MANOR AVENUE","49020","10472","3743","17","2023972","9","2025-12-17T00:00:00.000","2026-09-01T00:00:00.000"
"367871","326453","3","BROOKLYN","1594","1594","1594","LINCOLN PLACE","56030","11233","1393","29","3037429","8","2025-12-30T00:00:00.000","2026-09-01T00:00:00.000"
"142443","21554","1","MANHATTAN","149","149","151","ESSEX STREET","20390","10002","411","58","1079703","3","2025-12-23T00:00:00.000","2026-09-01T00:00:00.000"
"228574","839284","2","BRONX","1285","1285","1285","EDWARD L GRANT HIGHWAY","0","10452","2506","100","2129283","4","2025-08-27T00:00:00.000","2026-09-01T00:00:00.000"
"142442","844629","1","MANHATTAN","70","70","70","EAST 120 STREET","19350","10035","1746","41","1086480","11","2024-01-23T00:00:00.000","2024-09-30T00:00:00.000"
"314260","129876","3","BROOKLYN","27","27","27","4 PLACE","5480","11231","370","45","3005370","6","2025-12-10T00:00:00.000","2026-09-01T00:00:00.000"
"224272","846683","2","BRONX","1359","1359","1359","CLINTON AVENUE","20220","10456","2933","140","2103667","3","2025-08-23T00:00:00.000","2026-09-01T00:00:00.000"
"223111","857156","2","BRONX","708","708","708","GARDEN STREET","34620","10457","3099","119","2101290","6","2023-07-11T00:00:00.000","2024-09-30T00:00:00.000"
"227463","857473","2","BRONX","1303","1303","1303","CHISHOLM STREET","0","10459","2971","145","2113563","3","2025-07-15T00:00:00.000","2026-09-01T00:00:00.000"
"379734","875160","3","BROOKLYN","212","212","212","CRYSTAL STREET","31030","11208","4247","24","3390597","5","2025-07-22T00:00:00.000","2026-09-01T00:00:00.000"
"377656","877553","3","BROOKLYN","474","474","474","CARLTON AVENUE","24730","11238","2006","178","3343840","2","2007-12-27T00:00:00.000","2008-10-01T00:00:00.000"
"224824","878225","2","BRONX","658","658","658","CROTONA PARK SOUTH","22620","10456","2937","135","2117946","3","2024-12-20T00:00:00.000","2025-09-01T00:00:00.000"
"915218","878741","4","QUEENS","1023","1023","1023","BEACH 19 STREET","30190","11691","15561","46","4532736","14","2025-06-11T00:00:00.000","2026-09-01T00:00:00.000"
"427310","878937","4","QUEENS","33-32","33-32","33-32","111 STREET","20490","11368","1725","29","4532679","3","2025-06-06T00:00:00.000","2026-09-01T00:00:00.000"
"224911","879907","2","BRONX","2060","2040","2060","WHITE PLAINS ROAD","77150","10462","4284","7501","2114768","11","2025-07-24T00:00:00.000","2026-09-01T00:00:00.000"
"427483","880475","4","QUEENS","92-56","92-56","92-56","172 STREET","24740","11433","10212","40","4533581","12","2017-09-09T00:00:00.000","2018-09-01T00:00:00.000"
"311917","170082","3","BROOKLYN","2066","2066","2066","73 STREET","10230","11204","6207","33","3159214","11","2025-12-03T00:00:00.000","2026-09-01T00:00:00.000"
"427743","884461","4","QUEENS","28-04","28-04","28-04","31 STREET","8140","11102","598","64","4007842","1","2025-10-01T00:00:00.000","2026-09-01T00:00:00.000"
"711925","887262","2","BRONX","2716","2716","2716","YATES AVENUE","78850","10469","4522","7","2125342","11","2019-05-21T00:00:00.000","2019-09-01T00:00:00.000"
"428083","887914","4","QUEENS","86-08","86-08","86-08","AVA PLACE","29010","11432","9882","46","4534724","8","2025-07-25T00:00:00.000","2026-09-01T00:00:00.000"
"428134","889357","4","QUEENS","102-08","102-08","102-08","ROCKAWAY BEACH BOULEVARD","60790","11694","16176","7501","4533782","14","2025-06-10T00:00:00.000","2026-09-01T00:00:00.000"
"428193","889853","4","QUEENS","86-12","86-12","86-12","102 ROAD","19490","11416","9089","6","4538943","9","2024-12-26T00:00:00.000","2025-09-01T00:00:00.000"
"428223","890993","4","QUEENS","97-16","97-16","97-16","REMINGTON STREET","60190","11435","10009","20","4534639","12","2025-07-02T00:00:00.000","2026-09-01T00:00:00.000"
"428215","891180","4","QUEENS","95-70","95-70","95-70","112 STREET","20590","11419","9413","36","4535140","9","2025-08-07T00:00:00.000","2026-09-01T00:00:00.000"
"428290","892528","4","QUEENS","71-45","71-45","71-45","160 STREET","24040","11365","6799","7502","4536715","8","2025-10-08T00:00:00.000","2026-09-01T00:00:00.000"
"381387","892850","3","BROOKLYN","1330","1330","1330","58 STREET","9480","11219","5705","117","3391386","12","2025-07-22T00:00:00.000","2026-09-01T00:00:00.000"
"382493","892993","3","BROOKLYN","345","345","345","MILLER AVENUE","61030","11207","4009","120","3393515","5","2025-09-05T00:00:00.000","2026-09-01T00:00:00.000"
"428385","893459","4","QUEENS","32-86","32-80","32-88","41 STREET","9640","11103","676","7501","4011004","1","2022-11-23T00:00:00.000","2023-09-01T00:00:00.000"
"428447","893988","4","QUEENS","1890","1890","1890","STARR STREET","64110","11385","3396","31","4537061","5","2025-09-02T00:00:00.000","2026-09-01T00:00:00.000"
"381509","894007","3","BROOKLYN","119","119","119","BAY 29 STREET","16730","11214","6414","26","3394121","11","2024-09-19T00:00:00.000","2025-09-01T00:00:00.000"
"381694","895155","3","BROOKLYN","370","370","370","12 STREET","6330","11215","1030","7506","3393455","6","2025-09-08T00:00:00.000","2026-09-01T00:00:00.000"
"225647","896795","2","BRONX","1943","1943","1943","ADEE AVENUE","7720","10469","4781","41","2121821","12","2025-08-22T00:00:00.000","2026-09-01T00:00:00.000"
"383497","897251","3","BROOKLYN","47","47","49","DEAN STREET","31830","11201","187","7501","3397515","2","2025-07-23T00:00:00.000","2026-09-01T00:00:00.000"
"912671","897339","4","QUEENS","153-03","153-03","153-03","90 ROAD","18190","11432","9753","40","4533955","12","2025-07-02T00:00:00.000","2026-09-01T00:00:00.000"
"433954","1004749","4","QUEENS","112-16","112-16","112-16","ASTORIA BOULEVARD","28790","11369","1706","11","4618105","3","2025-12-31T00:00:00.000","2026-09-01T00:00:00.000"
"382209","900232","3","BROOKLYN","273","273","273","MANHATTAN AVENUE","58330","11211","2769","7501","3397071","1","2024-07-25T00:00:00.000","2025-09-01T00:00:00.000"
"428759","902935","4","QUEENS","58-26","58-26","58-26","79 AVENUE","16340","11385","3571","22","4534344","5","2025-09-16T00:00:00.000","2026-09-01T00:00:00.000"
"382549","907020","3","BROOKLYN","32","32","32","TROY AVENUE","86030","11213","1705","49","3414271","3","2025-07-22T00:00:00.000","2026-09-01T00:00:00.000"
"428947","910005","4","QUEENS","91-44","91-44","91-44","193 STREET","25540","11423","10820","62","4539044","12","2011-09-19T00:00:00.000","2012-10-01T00:00:00.000"
"922087","910332","4","QUEENS","551","551","551","BEACH 67 STREET","31890","11692","16034","47","4532611","14","2025-09-16T00:00:00.000","2026-09-01T00:00:00.000"
"429085","912128","4","QUEENS","31-32","31-32","31-32","UNION STREET","65490","11354","4414","7504","4535108","7","2025-09-05T00:00:00.000","2026-09-01T00:00:00.000"
"383153","929537","3","BROOKLYN","587","587","587","FLUSHING AVENUE","41330","11206","2264","50","3251720","1","2025-10-07T00:00:00.000","2026-09-01T00:00:00.000"
"433129","467547","4","QUEENS","34-27","34-27","34-27","71 STREET","15090","11372","1258","58","4028874","3","2025-12-09T00:00:00.000","2026-09-01T00:00:00.000"
"120035","40976","1","MANHATTAN","127","127","127","WEST 137 STREET","36510","10030","2006","16","1059994","10","2025-12-01T00:00:00.000","2026-09-01T00:00:00.000"
"218634","56191","2","BRONX","1600","1600","1600","CHESTER STREET","19220","10469","4724","58","2060288","12","2025-12-03T00:00:00.000","2026-09-01T00:00:00.000"
"817742","342510","3","BROOKLYN","581","581","581","NEW JERSEY AVENUE","64430","11207","3807","1","3084689","5","2025-12-24T00:00:00.000","2026-09-01T00:00:00.000"
"429573","929962","4","QUEENS","20-70","20-70","20-70","27 STREET","7490","11105","860","1","4018433","1","2025-09-03T00:00:00.000","2026-09-01T00:00:00.000"
"429562","930027","4","QUEENS","20-74","20-74","20-74","26 STREET","7400","11105","870","1","4019022","1","2025-09-03T00:00:00.000","2026-09-01T00:00:00.000"
"226290","930559","2","BRONX","3480","3480","3480","CORSA AVENUE","21250","10469","4722","12","2117005","12","2025-07-14T00:00:00.000","2026-09-01T00:00:00.000"
"429621","931068","4","QUEENS","98-21","98-21","98-21","65 AVENUE","13540","11374","2102","1","4431991","6","2025-10-14T00:00:00.000","2026-09-01T00:00:00.000"
"913291","931109","4","QUEENS","140-23","140-23","140-25","183 STREET","25140","11413","13041","53","4448511","12",,"2023-09-01T00:00:00.000"
"383259","931585","3","BROOKLYN","1792","1792","1792","EASTERN PARKWAY","38430","11233","1449","177","3349155","16","2025-09-02T00:00:00.000","2026-09-01T00:00:00.000"
"429670","931692","4","QUEENS","205-14","205-14","205-14","35 AVENUE","8590","11361","6150","1","4445671","11","2025-07-14T00:00:00.000","2026-09-01T00:00:00.000"
"429681","931787","4","QUEENS","33-30","33-30","33-30","112 STREET","20590","11368","1726","26","4534019","3","2025-07-07T00:00:00.000","2026-09-01T00:00:00.000"
"429703","932227","4","QUEENS","125-03","125-03","125-03","84 ROAD","17130","11415","3357","34","4535643","9","2023-11-28T00:00:00.000","2024-09-30T00:00:00.000"
"383444","933860","3","BROOKLYN","155","155","163","15 STREET","6630","11215","1041","7502","3397492","6","2025-10-08T00:00:00.000","2026-09-01T00:00:00.000"
"924674","934635","4","QUEENS","153-27","153-27","153-27","110 AVENUE","36990","11433","12145","26","4531880","12",,"2025-09-01T00:00:00.000"
"384701","935852","3","BROOKLYN","291","287","293","BAINBRIDGE STREET","14980","11233","1683","85","3420455","3","2025-07-31T00:00:00.000","2026-09-01T00:00:00.000"
"922120","936733","4","QUEENS","144-01","144-01","144-01","JAMAICA AVENUE","51090","11435","9674","1","4534218","12","2019-08-20T00:00:00.000","2020-11-01T00:00:00.000"
"911520","938123","4","QUEENS","14-64","14-64","14-64","GATEWAY BOULEVARD","48090","11691","15563","66","4537509","14","2025-06-11T00:00:00.000","2026-09-01T00:00:00.000"
"430188","939100","4","QUEENS","86-36","86-36","86-36","164 STREET","24240","11432","9773","128","4533967","8","2025-07-03T00:00:00.000","2026-09-01T00:00:00.000"
"925688","943116","4","QUEENS","29-43B","29-43B","29-43B","FAR ROCKAWAY BOULEVARD","44590","11691","15788","322","4534946","14","2025-10-09T00:00:00.000","2026-09-01T00:00:00.000"
"430443","943344","4","QUEENS","41-64","41-64","41-64","71 STREET","15090","11377","1310","77","4540413","2","2023-10-19T00:00:00.000","2024-09-30T00:00:00.000"
"227513","944796","2","BRONX","1500","1500","1500","BOONE AVENUE","13620","10460","3013","7501","2128557","3","2025-09-12T00:00:00.000","2026-09-01T00:00:00.000"
"143900","946568","1","MANHATTAN","23","23","23","WEST 116 STREET","0","10026","1600","7503","1089780","10","2025-09-26T00:00:00.000","2026-09-01T00:00:00.000"
"430893","948815","4","QUEENS","153-36","153-36","153-36","73 AVENUE","15390","11367","6807","2","4618188","8","2025-09-18T00:00:00.000","2026-09-01T00:00:00.000"
"430911","948932","4","QUEENS","13-23","13-23","13-23","EGGERT PLACE","43190","11691","15665","1","4452154","14","2025-08-26T00:00:00.000","2026-09-01T00:00:00.000"
